epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1251.11,1.81078,1.7824,1.08784,0.99757,1,0.995,0.36327,2.36413,1.03093,1.00069,0.00333279,0.00333279,0.00333279
2,2327.24,1.6697,1.03239,1.03722,0.99846,1,0.995,0.62038,1.3753,0.71326,0.8637,0.00662213,0.00662213,0.00662213
3,3399.11,1.62167,0.97108,1.02495,0.99897,1,0.995,0.63221,1.29657,0.89028,0.86163,0.00986746,0.00986746,0.00986746
4,4422.9,1.5839,0.94393,1.01689,0.99895,1,0.995,0.60442,1.2451,0.69831,0.85673,0.009802,0.009802,0.009802
5,5448.73,1.52461,0.89288,0.99809,0.99867,1,0.995,0.60954,1.28468,0.65477,0.8577,0.009736,0.009736,0.009736
6,6478.65,1.47735,0.83824,0.98538,0.99898,1,0.995,0.58589,1.21899,0.63855,0.84427,0.00967,0.00967,0.00967
7,7493.56,1.44152,0.80694,0.97534,0.99944,1,0.995,0.69496,1.2481,0.5691,0.83993,0.009604,0.009604,0.009604
8,8520.23,1.39962,0.76683,0.96536,0.99932,1,0.995,0.70093,1.14847,0.52905,0.83722,0.009538,0.009538,0.009538
9,9555.77,1.36055,0.72591,0.95779,0.99941,1,0.995,0.65774,1.12344,0.55161,0.83219,0.009472,0.009472,0.009472
10,10576,1.32474,0.69533,0.95096,0.99953,1,0.995,0.69314,1.08497,0.50865,0.83041,0.009406,0.009406,0.009406
