epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.56,4.1942,9.82584,3.5331,0,0,0,0,0,0,0,0.00332041,0.00332041,0.00332041
2,276.155,2.53542,2.94573,1.46985,0,0,0,0,0,0,0,0.00658787,0.00658787,0.00658787
3,427.809,2.3365,2.22161,1.27926,0,0,0,0,0,0,0,0.00978934,0.00978934,0.00978934
4,580.074,2.19352,1.87252,1.21802,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
5,725.459,2.10789,1.66902,1.19512,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
6,878.156,2.05306,1.55897,1.16835,0,0,0,0,0,0,0,0.009505,0.009505,0.009505
7,1030.55,2.01232,1.47171,1.15187,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
8,1183.25,1.98149,1.40969,1.14396,0,0,0,0,0,0,0,0.009307,0.009307,0.009307
9,1335.23,1.95335,1.36562,1.13076,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
10,1487.22,1.93304,1.33415,1.1261,0,0,0,0,0,0,0,0.009109,0.009109,0.009109
11,1641.14,1.91045,1.30641,1.11601,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
12,1793.09,1.91606,1.28429,1.1156,0,0,0,0,0,0,0,0.008911,0.008911,0.008911
13,1946.51,1.90079,1.26697,1.1111,0,0,0,0,0,0,0,0.008812,0.008812,0.008812
14,2098.38,1.87471,1.2371,1.10394,0,0,0,0,0,0,0,0.008713,0.008713,0.008713
15,2251.05,1.87102,1.22367,1.10231,0,0,0,0,0,0,0,0.008614,0.008614,0.008614
16,2404.6,1.86181,1.20821,1.09638,0,0,0,0,0,0,0,0.008515,0.008515,0.008515
17,2558.67,1.84556,1.1884,1.09393,0,0,0,0,0,0,0,0.008416,0.008416,0.008416
18,2708.66,1.83234,1.16537,1.09311,0,0,0,0,0,0,0,0.008317,0.008317,0.008317
19,2860.11,1.83961,1.1642,1.0909,0,0,0,0,0,0,0,0.008218,0.008218,0.008218
20,3012.31,1.83333,1.15798,1.08877,0,0,0,0,0,0,0,0.008119,0.008119,0.008119
21,3164.58,1.81896,1.14456,1.089,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
22,3316.53,1.81374,1.12857,1.08325,0,0,0,0,0,0,0,0.007921,0.007921,0.007921
23,3470.04,1.80617,1.12261,1.08432,0,0,0,0,0,0,0,0.007822,0.007822,0.007822
24,3621.94,1.79836,1.11654,1.07763,0,0,0,0,0,0,0,0.007723,0.007723,0.007723
25,3773.83,1.79698,1.10139,1.07904,0,0,0,0,0,0,0,0.007624,0.007624,0.007624
26,3925.72,1.79403,1.10124,1.08165,0,0,0,0,0,0,0,0.007525,0.007525,0.007525
27,4077.87,1.77457,1.10137,1.07018,0,0,0,0,0,0,0,0.007426,0.007426,0.007426
28,4229.4,1.76993,1.0817,1.07019,0,0,0,0,0,0,0,0.007327,0.007327,0.007327
29,4381.95,1.77593,1.0767,1.07292,0,0,0,0,0,0,0,0.007228,0.007228,0.007228
30,4532.34,1.75833,1.06889,1.06602,0,0,0,0,0,0,0,0.007129,0.007129,0.007129
31,4683.24,1.75724,1.06588,1.06566,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
32,4835.75,1.75692,1.06677,1.06274,0,0,0,0,0,0,0,0.006931,0.006931,0.006931
33,4988.31,1.74652,1.05057,1.06362,0,0,0,0,0,0,0,0.006832,0.006832,0.006832
34,5140.45,1.74212,1.04791,1.06138,0,0,0,0,0,0,0,0.006733,0.006733,0.006733
35,5292.04,1.73171,1.0463,1.06224,0,0,0,0,0,0,0,0.006634,0.006634,0.006634
36,5443.35,1.74007,1.04762,1.05786,0,0,0,0,0,0,0,0.006535,0.006535,0.006535
37,5595.08,1.73375,1.03983,1.06096,0,0,0,0,0,0,0,0.006436,0.006436,0.006436
38,5746.62,1.72305,1.04247,1.05519,0,0,0,0,0,0,0,0.006337,0.006337,0.006337
39,5898.52,1.7098,1.01052,1.05516,0,0,0,0,0,0,0,0.006238,0.006238,0.006238
40,6042.6,1.71741,1.0222,1.05567,0,0,0,0,0,0,0,0.006139,0.006139,0.006139
41,6186.07,1.71356,1.01369,1.05379,0,0,0,0,0,0,0,0.00604,0.00604,0.00604
42,6331.17,1.70813,1.01064,1.0531,0,0,0,0,0,0,0,0.005941,0.005941,0.005941
43,6484.4,1.69795,0.99421,1.04544,0,0,0,0,0,0,0,0.005842,0.005842,0.005842
44,6635.25,1.69187,0.98603,1.04964,0,0,0,0,0,0,0,0.005743,0.005743,0.005743
45,6785.19,1.70004,1.00295,1.05095,0,0,0,0,0,0,0,0.005644,0.005644,0.005644
46,6935.54,1.69945,0.99905,1.04403,0,0,0,0,0,0,0,0.005545,0.005545,0.005545
47,7085.84,1.69994,0.99815,1.05166,0,0,0,0,0,0,0,0.005446,0.005446,0.005446
48,7236.53,1.6854,0.99922,1.04425,0,0,0,0,0,0,0,0.005347,0.005347,0.005347
49,7387.04,1.6729,0.98346,1.04425,0,0,0,0,0,0,0,0.005248,0.005248,0.005248
50,7536.25,1.67324,0.9852,1.04395,0,0,0,0,0,0,0,0.005149,0.005149,0.005149
51,7686.65,1.68366,0.9889,1.04675,0,0,0,0,0,0,0,0.00505,0.00505,0.00505
52,7837.96,1.67833,0.9845,1.04183,0,0,0,0,0,0,0,0.004951,0.004951,0.004951
53,7988.31,1.67877,0.97937,1.03993,0,0,0,0,0,0,0,0.004852,0.004852,0.004852
54,8140.4,1.65784,0.96957,1.03434,0,0,0,0,0,0,0,0.004753,0.004753,0.004753
55,8291.64,1.64903,0.96219,1.03451,0,0,0,0,0,0,0,0.004654,0.004654,0.004654
56,8441.48,1.65259,0.95862,1.03292,0,0,0,0,0,0,0,0.004555,0.004555,0.004555
57,8593.53,1.64875,0.95832,1.03319,0,0,0,0,0,0,0,0.004456,0.004456,0.004456
58,8744.93,1.64775,0.94365,1.03295,0,0,0,0,0,0,0,0.004357,0.004357,0.004357
59,8896.21,1.64355,0.9529,1.03786,0,0,0,0,0,0,0,0.004258,0.004258,0.004258
60,9048.23,1.64412,0.94717,1.03237,0,0,0,0,0,0,0,0.004159,0.004159,0.004159
61,9199.3,1.63938,0.94318,1.03871,0,0,0,0,0,0,0,0.00406,0.00406,0.00406
62,9349.85,1.6388,0.94585,1.02934,0,0,0,0,0,0,0,0.003961,0.003961,0.003961
63,9500.63,1.63595,0.93736,1.03077,0,0,0,0,0,0,0,0.003862,0.003862,0.003862
64,9650.61,1.62233,0.93572,1.02659,0,0,0,0,0,0,0,0.003763,0.003763,0.003763
65,9801.6,1.62628,0.92095,1.02928,0,0,0,0,0,0,0,0.003664,0.003664,0.003664
66,9952.67,1.61329,0.92591,1.02534,0,0,0,0,0,0,0,0.003565,0.003565,0.003565
67,10102.7,1.60862,0.92282,1.02325,0,0,0,0,0,0,0,0.003466,0.003466,0.003466
68,10253.7,1.62019,0.92466,1.02691,0,0,0,0,0,0,0,0.003367,0.003367,0.003367
69,10404.6,1.60089,0.91527,1.02184,0,0,0,0,0,0,0,0.003268,0.003268,0.003268
70,10556.3,1.60067,0.91572,1.02515,0,0,0,0,0,0,0,0.003169,0.003169,0.003169
