epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.068,4.72428,15.8772,3.92486,0,0,0,0,0,0,0,0.00332041,0.00332041,0.00332041
2,293.68,2.64725,3.59323,1.54762,0,0,0,0,0,0,0,0.00658787,0.00658787,0.00658787
3,443.402,2.35984,2.33673,1.29101,0,0,0,0,0,0,0,0.00978934,0.00978934,0.00978934
4,579.784,2.20868,1.87661,1.22347,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
5,710.575,2.11415,1.63908,1.19658,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
6,854.744,2.05555,1.50253,1.16799,0,0,0,0,0,0,0,0.009505,0.009505,0.009505
7,1003.15,2.00839,1.43512,1.14868,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
8,1133.15,1.97774,1.36124,1.13936,0,0,0,0,0,0,0,0.009307,0.009307,0.009307
9,1267.62,1.95231,1.32778,1.12656,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
10,1422.91,1.93013,1.3067,1.12351,0,0,0,0,0,0,0,0.009109,0.009109,0.009109
11,1566.86,1.91499,1.28032,1.11558,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
12,1697.38,1.91344,1.25408,1.11429,0,0,0,0,0,0,0,0.008911,0.008911,0.008911
13,1838.73,1.88948,1.23264,1.10731,0,0,0,0,0,0,0,0.008812,0.008812,0.008812
14,1975.25,1.87382,1.20787,1.10206,0,0,0,0,0,0,0,0.008713,0.008713,0.008713
15,2125.27,1.86345,1.19139,1.09784,0,0,0,0,0,0,0,0.008614,0.008614,0.008614
16,2277.2,1.85342,1.17672,1.09432,0,0,0,0,0,0,0,0.008515,0.008515,0.008515
17,2408.67,1.84762,1.16509,1.09536,0,0,0,0,0,0,0,0.008416,0.008416,0.008416
18,2547.89,1.82527,1.14487,1.09174,0,0,0,0,0,0,0,0.008317,0.008317,0.008317
19,2690.16,1.82241,1.13201,1.08526,0,0,0,0,0,0,0,0.008218,0.008218,0.008218
20,2840.05,1.81709,1.12483,1.08426,0,0,0,0,0,0,0,0.008119,0.008119,0.008119
21,2979.72,1.80755,1.11359,1.0853,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
22,3111.1,1.79926,1.09322,1.08235,0,0,0,0,0,0,0,0.007921,0.007921,0.007921
23,3248.77,1.80159,1.10433,1.08295,0,0,0,0,0,0,0,0.007822,0.007822,0.007822
24,3397.65,1.77849,1.08062,1.07152,0,0,0,0,0,0,0,0.007723,0.007723,0.007723
25,3549.74,1.78557,1.06916,1.0757,0,0,0,0,0,0,0,0.007624,0.007624,0.007624
26,3680.96,1.77438,1.06884,1.07574,0,0,0,0,0,0,0,0.007525,0.007525,0.007525
27,3839.73,1.76231,1.06336,1.06736,0,0,0,0,0,0,0,0.007426,0.007426,0.007426
28,3983.64,1.75827,1.05008,1.06611,0,0,0,0,0,0,0,0.007327,0.007327,0.007327
29,4131.59,1.7575,1.04636,1.06709,0,0,0,0,0,0,0,0.007228,0.007228,0.007228
30,4264.96,1.74765,1.03451,1.06529,0,0,0,0,0,0,0,0.007129,0.007129,0.007129
31,4427.88,1.74354,1.03033,1.06214,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
32,4564.69,1.74381,1.02455,1.05935,0,0,0,0,0,0,0,0.006931,0.006931,0.006931
33,4704.91,1.73649,1.01725,1.05963,0,0,0,0,0,0,0,0.006832,0.006832,0.006832
34,4851.02,1.72317,1.00929,1.05984,0,0,0,0,0,0,0,0.006733,0.006733,0.006733
35,5000.53,1.71649,1.00323,1.05875,0,0,0,0,0,0,0,0.006634,0.006634,0.006634
36,5134.15,1.72089,1.01124,1.05409,0,0,0,0,0,0,0,0.006535,0.006535,0.006535
37,5274.64,1.70886,0.99271,1.05362,0,0,0,0,0,0,0,0.006436,0.006436,0.006436
38,5427.7,1.7073,1.00104,1.05108,0,0,0,0,0,0,0,0.006337,0.006337,0.006337
39,5585.35,1.69934,0.97294,1.05075,0,0,0,0,0,0,0,0.006238,0.006238,0.006238
40,5716.45,1.70445,0.98176,1.05176,0,0,0,0,0,0,0,0.006139,0.006139,0.006139
41,5862.34,1.69604,0.96861,1.0484,0,0,0,0,0,0,0,0.00604,0.00604,0.00604
42,6005.67,1.67977,0.97305,1.04501,0,0,0,0,0,0,0,0.005941,0.005941,0.005941
43,6135.11,1.67825,0.95869,1.0431,0,0,0,0,0,0,0,0.005842,0.005842,0.005842
44,6266.34,1.66981,0.94993,1.04644,0,0,0,0,0,0,0,0.005743,0.005743,0.005743
45,6412.28,1.66966,0.95732,1.04158,0,0,0,0,0,0,0,0.005644,0.005644,0.005644
46,6559.74,1.67588,0.94664,1.03692,0,0,0,0,0,0,0,0.005545,0.005545,0.005545
47,6692.23,1.6759,0.95378,1.04568,0,0,0,0,0,0,0,0.005446,0.005446,0.005446
48,6848.27,1.65744,0.95106,1.03853,0,0,0,0,0,0,0,0.005347,0.005347,0.005347
49,6981.63,1.64485,0.94462,1.03913,0,0,0,0,0,0,0,0.005248,0.005248,0.005248
50,7124.18,1.64963,0.93653,1.03704,0,0,0,0,0,0,0,0.005149,0.005149,0.005149
51,7264.44,1.65275,0.94131,1.03911,0,0,0,0,0,0,0,0.00505,0.00505,0.00505
52,7418.98,1.64815,0.9368,1.03244,0,0,0,0,0,0,0,0.004951,0.004951,0.004951
53,7557.78,1.6464,0.92706,1.03148,0,0,0,0,0,0,0,0.004852,0.004852,0.004852
54,7696.97,1.6229,0.92022,1.02553,0,0,0,0,0,0,0,0.004753,0.004753,0.004753
55,7832.28,1.61788,0.91195,1.02647,0,0,0,0,0,0,0,0.004654,0.004654,0.004654
56,7967.48,1.61585,0.90665,1.02244,0,0,0,0,0,0,0,0.004555,0.004555,0.004555
57,8103.97,1.61169,0.9069,1.02423,0,0,0,0,0,0,0,0.004456,0.004456,0.004456
58,8246.4,1.61326,0.89686,1.0241,0,0,0,0,0,0,0,0.004357,0.004357,0.004357
59,8397.42,1.61362,0.90562,1.02914,0,0,0,0,0,0,0,0.004258,0.004258,0.004258
60,8529.12,1.60534,0.88993,1.0233,0,0,0,0,0,0,0,0.004159,0.004159,0.004159
61,8694.08,1.59939,0.88778,1.02848,0,0,0,0,0,0,0,0.00406,0.00406,0.00406
62,8825.03,1.6078,0.88987,1.02418,0,0,0,0,0,0,0,0.003961,0.003961,0.003961
63,8970.46,1.59523,0.88342,1.02167,0,0,0,0,0,0,0,0.003862,0.003862,0.003862
64,9125.23,1.58374,0.87686,1.01771,0,0,0,0,0,0,0,0.003763,0.003763,0.003763
65,9256.04,1.58836,0.87099,1.02239,0,0,0,0,0,0,0,0.003664,0.003664,0.003664
66,9388.92,1.56954,0.87149,1.01755,0,0,0,0,0,0,0,0.003565,0.003565,0.003565
67,9533.88,1.57064,0.85849,1.01388,0,0,0,0,0,0,0,0.003466,0.003466,0.003466
68,9669.79,1.57261,0.86343,1.01543,0,0,0,0,0,0,0,0.003367,0.003367,0.003367
69,9804.95,1.55444,0.86107,1.01155,0,0,0,0,0,0,0,0.003268,0.003268,0.003268
70,9961.35,1.55867,0.852,1.01535,0,0,0,0,0,0,0,0.003169,0.003169,0.003169
71,10102.5,1.55855,0.85187,1.00865,0,0,0,0,0,0,0,0.00307,0.00307,0.00307
